SERIALNO,SPORDER,PUMA,ADJINC,PWGTP,AGEP,CIT,CITWP,COW,DDRS,DEAR,DEYE,DOUT,DPHY,DRAT,DRATX,DREM,ENG,FER,GCL,GCM,GCR,HINS1,HINS2,HINS3,HINS4,HINS5,HINS6,HINS7,INTP,JWMNP,JWRIP,JWTR,LANP,LANX,MAR,MARHD,MARHM,MARHT,MARHW,MARHYP,MIG,MIL,MLPA,MLPB,MLPCD,MLPE,MLPFG,MLPH,MLPI,MLPJ,MLPK,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,RELP,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,WRK,YOEP,ANC,ANC1P,ANC2P,DECADE,DIS,DRIVESP,ESP,ESR,FHICOVP,FOD1P,FOD2P,HICOV,HISP,INDP,JWAP,JWDP,MIGPUMA,MIGSP,MSP,NAICSP,NATIVITY,NOP,OC,OCCP,PAOC,PERNP,PINCP,POBP,POVPIP,POWPUMA,POWSP,PRIVCOV,PUBCOV,QTRBIR,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNH,RACNUM,RACPI,RACSOR,RACWHT,RC,SCIENGP,SCIENGRLP,SFN,SFR,SOCP,VPS,WAOB
45377,2,8512,1007588,74,40,1,1971,,2,2,2,2,2,,2,2,1,1,2,,,1,2,2,2,2,2,2,0,,,,2910,2,1,2,2,1,2,2001,1,4,0,0,0,1,0,0,0,0,0,2,5,2,2,3,0,0,1,0,1,,21,0,2,0,0,0,,3,,2,1965,4,999,999,3,2,,,6,0,3604,,1,1,,,,,,1,,1,,0,,3,0,0,6,501,,,1,2,3,1,1,1,0,0,0,0,1,0,0,1,0,1,2,,,,6,1
45377,3,8512,1007588,83,12,1,,1,2,2,2,2,2,,,2,,2,2,,,1,2,2,2,2,2,2,0,22,1,1,,2,5,2,2,1,2,1987,1,4,,,,,,,,,,3,5,3,3,3,300,0,2,0,2,9,10,0,2,0,0,14000,15,1,1,1,,4,999,999,,2,1,2,1,0,,,1,1,5080,134,85,,,1,446Z,1,1,1,4760,4,14000,14300,6,501,7100,6,1,2,1,1,1,1,0,0,0,0,1,0,0,1,1,,,,,412031,,1
45377,4,8512,1007588,57,10,1,,1,2,2,2,2,2,,,2,,,2,,,1,2,2,2,2,2,2,0,141,1,1,,2,5,2,2,1,2,1987,1,4,,,,,,,,,,3,5,3,3,3,0,0,2,0,2,7,8,0,1,0,0,15700,35,1,1,1,,4,999,999,,2,1,2,1,0,,,1,1,4770,82,19,,,1,442,1,1,1,4760,,15700,15700,6,501,3700,6,1,2,1,1,1,1,0,0,0,0,1,0,0,1,1,,,,,412031,,1
45377,5,8512,1007588,59,10,1,,1,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0,,,,,2,5,,,,,,1,4,,,,,,,,,,3,1,1,1,2,1500,0,2,0,2,7,8,0,1,0,0,10000,12,1,4,2,,4,999,999,,2,,2,3,0,,,1,1,5080,,,,,6,446Z,1,1,1,4760,,10000,11500,6,501,,,1,2,1,1,1,1,0,0,0,0,1,0,0,1,1,,,,,412031,,1
45377,6,8512,1007588,64,0,1,,1,2,2,2,2,2,,,2,,2,,,,1,2,2,2,2,2,2,0,10,1,1,,2,5,2,2,1,2,2014,1,4,,,,,,,,,,3,5,3,3,3,0,0,2,0,3,16,21,0,2,0,0,94000,40,1,1,1,,4,999,999,,2,1,2,1,0,2401,,1,1,3580,76,35,,,1,33641M1,1,1,1,1320,4,94000,94000,6,501,3700,6,1,2,4,1,1,1,0,0,0,0,1,0,0,1,1,1,2,,,172011,,1
45379,1,7501,1007588,139,30,1,,1,2,2,2,2,2,,,2,,2,2,,,2,2,2,2,2,2,2,0,30,1,9,,2,5,2,2,1,2,2014,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,2,15,19,0,2,0,0,50000,40,1,3,1,,2,51,94,,2,1,,1,0,2102,,2,1,4795,136,85,,,6,443142,1,,0,5700,4,50000,50000,53,405,7500,6,2,2,1,1,1,1,0,0,0,0,1,0,0,1,0,1,2,,,436010,,1
45379,2,7501,1007588,188,35,1,,1,2,2,2,2,2,,,2,1,2,2,,,1,2,2,2,2,2,2,0,30,6,2,1200,2,5,2,2,1,2,2006,3,4,,,,,,,,,,3,5,3,3,3,0,0,12,0,1,,21,0,2,0,0,60000,40,1,1,1,1994,1,429,999,6,2,5,,1,1,5098,,1,1,7380,100,55,7500,6,6,5415,1,,0,10,4,60000,60000,6,486,7500,6,1,2,3,1,1,1,0,0,0,0,1,0,0,1,0,1,2,,,1110XX,,1
45379,3,7501,1007588,131,33,1,,1,2,2,2,2,2,,,2,,2,2,,,1,2,2,2,2,2,2,0,30,1,1,,2,5,2,2,1,2,2006,1,4,,,,,,,,,,3,5,3,3,3,0,0,13,0,2,15,19,0,2,0,0,65000,40,1,1,1,,2,998,22,,2,1,,1,0,2502,1901,1,1,6672,70,25,5900,6,6,51913,1,,0,4710,4,65000,65000,6,501,100,6,1,2,1,1,1,1,0,0,0,0,1,0,0,1,0,2,1,,,411012,,1
45394,1,6514,1007588,93,51,4,2012,2,2,2,2,2,2,,,2,1,,2,,,1,2,2,2,2,2,2,0,75,1,1,2910,1,1,2,2,1,2,1993,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,21,0,2,0,0,55000,40,1,1,1,1998,1,720,999,6,2,1,,1,0,4002,,1,1,8190,211,118,,,1,622,2,,0,630,4,55000,55000,233,501,3700,6,1,2,4,6,45,6,0,1,0,0,1,0,0,0,0,1,2,,,131070,,4
45394,2,6514,1007588,102,51,4,2012,2,2,2,2,2,2,,,2,1,2,2,,,1,2,2,2,2,2,2,0,75,1,1,2910,1,1,2,2,1,2,1993,1,4,,,,,,,,,,3,5,3,3,3,0,0,1,0,1,,21,0,1,0,0,40300,40,1,3,1,1998,1,720,999,6,2,1,,1,0,5500,,1,1,8190,133,79,,,1,622,2,,0,1050,4,40300,40300,233,501,3700,6,1,2,1,6,45,6,0,1,0,0,1,0,0,0,0,1,2,,,151150,,4
